sampleID,visitDate,TN,TP,disNH4,disNO3,disPO4,TDN,TDP,locName,Pool Volume (cu ft)_x,samp_type,notes,samp_notes,y_x,x_x,Totall_Mean_TP,Totall_Mean_TN,Totall_Mean_disNH4,Totall_Mean_disNO3,Totall_Mean_disPO4,Visit_Mean_TP,Visit_Mean_TN,Visit_Mean_disNH4,Visit_Mean_disNO3,Visit_Mean_disPO4,Max Depth  (ft),Slope Range,Bottom Deviation of wetland,y_y,x_y,Pool Volume (cu ft)_y,season
W00043,5/27/2021,3.365,0.598,0.138,0,0.133,2.233,0.249,Wetland Pool 25,15000,sample,"Pool was full with water, no flow, cloudiest water of the pools we had sampled so far, was shallow near the south west end and had many frogs and tadpoles, had been sprayed with seed",,41.0239,-83.68451,0.1818571428571428,1.4995155714285713,0.022671429,0.038657143,0.025885714,0.598,3.365,0.138,0,0.133,1.5,16:1 to 19:1,775.8,41.02286167,-83.683685,15000,Spring
W00044,5/27/2021,0.724,0.036,0.058,0,0,1.142,0.027,Wetland Pool 22,15000,sample,"Pool was full with water, no vegetation directly around or in pool, it had not yet been planted with seed.",,41.0239,-83.6873,0.1783333333333333,1.7066666666666663,0.017166667,0.1381508333333333,0.025966667,0.036,0.724,0.058,0,0,1.5,10:01,775.7,41.02496833,-83.68720333,15000,Spring
W00045,5/27/2021,1.184,0.055,0.272,0.565,0.017,1.117,0.031,Wetland Pool 1,353316,sample,"Pool was mostly filled with water, but had been more full in the past. Water level did not extend past the dry island to the west of the pool. This can be considered a floodplain wetland",,41.0243,-83.6968,0.1256086956521739,1.4951467173913042,0.062869388,0.296505694,0.006269388,0.0605,1.169,0.24,0.564,0.0215,6,14:1 to 35:1,770,41.0243,-83.6968,353316,Spring
W00046,5/27/2021,1.154,0.066,0.208,0.563,0.026,1.078,0.061,Wetland Pool 1,353316,sample,"Pool was full but there was no flowing water, Aurand run was not flooded past the rock barrier so there was not flow from Aurand run at the time",,41.0239,-83.6963,0.1256086956521739,1.4951467173913042,0.062869388,0.296505694,0.006269388,0.0605,1.169,0.24,0.564,0.0215,6,14:1 to 35:1,770,41.0243,-83.6968,353316,Spring
W00047,5/27/2021,0.957,0.06,0.059,0,0.01,0.896,0.043,Wetland Pool 3,5050,sample,"This pool was full and detritus could be found on the surface, there was more vegitation than other pools found within the pool",,41.0234,-83.6951,0.054333333,0.7703333333333333,0.029666667,0.041666667,0.009,0.0585,0.8734999999999999,0.0445,0,0.0135,0.5,10:01,775,41.0232,-83.6947,5050,Spring
W00048,5/27/2021,0.79,0.057,0.03,0,0.017,0.943,0.05,Wetland Pool 3,5050,sample,"This pool was full and detritus could be found on the surface, there was more vegitation than other pools found within the pool",,41.0232,-83.6947,0.054333333,0.7703333333333333,0.029666667,0.041666667,0.009,0.0585,0.8734999999999999,0.0445,0,0.0135,0.5,10:01,775,41.0232,-83.6947,5050,Spring
W00049,5/27/2021,1.107,0.098,0.031,0,0,1.092,0.055,Wetland Pool 2,7383,sample,This pool was full of water,,41.0239,-83.6946,0.2728333333333333,2.7486666666666664,0.010666667,0.0876985,0.011702667,0.0985,1.115,0.032,0,0,0.5,10:01,774.8,41.0239,-83.6946,7383,Spring
W00050,5/27/2021,1.123,0.099,0.033,0,0,1.049,0.056,Wetland Pool 2,7383,sample,"This pool was full of water --> sample was weighed down too much in refridgerator and spilled, so it is all gone (discovered 06-17-2021)",,41.0242,-83.6951,0.2728333333333333,2.7486666666666664,0.010666667,0.0876985,0.011702667,0.0985,1.115,0.032,0,0,0.5,10:01,774.8,41.0239,-83.6946,7383,Spring
W00051,5/27/2021,0.8,0.108,0.122,0.01,0.169,0.692,0.064,Wetland Pool 18,19452,sample,This pool was full of water,,41.024038,-83.689883,0.099846154,1.4081614615384614,0.0448,0.064869214,0.014614286,0.108,0.8,0.122,0.01,0.169,2,12:1 to 19:1,774.8,41.02404667,-83.68998833,19452,Spring
W00052,5/27/2021,0.833,0.072,0.075,0,0,0.781,0.022,Wetland Pool 14,4000,sample,This pool was full of water and had been sprayed with seed previously so plants were sprouting.,,41.024265,-83.690516,0.28025,2.42825,0.0313,0.2106667499999999,0.009775,0.072,0.833,0.075,0,0,1,10:01,775.7,41.02388167,-83.69051667,4000,Spring
W00063,7/30/2021,0.762,0.022,0,0.406124,0,,,Aurand Run downstream,,sample ,"Access Aurand ran off County Road nine large drainage pipe leading into Aurand run. Water is flowing west. Sample taken from center of stream. Both filtered and unfiltered water samples taken. o sediment samples taken because this location on Aurand run is bedrock. The water measurements for this sample can also be used for 63. Tons of vegetation around this access point. We sample directly under the highway. Flow is coming from Aurand run itself, the tile connection at this point looks dry. Velocity of water flow is 0.29 m/s at depth of 0.12 m. At 0.17 m it is the same and at 0.07 m, so it is independent of depth. ",,41.023889,-83.698333,0.016545455,1.75824,0.024125,1.3299103333333333,0.002091667,0.022,0.762,0,0.406124,0,,,,,,,Summer
W00065,7/30/2021,2.485,0.113,0,0.172362,0,,,Wetland Pool 1,353316,sample ,"Tons of vegetation around pool, as high as my head. Depth increases rapidly once entering the pool. The line where the pool begins is not clear, the water extends into the vegetation. ",,41.024167,-83.696667,0.1256086956521739,1.4951467173913042,0.062869388,0.296505694,0.006269388,0.109,2.412,0,0.1712894999999999,0,6,14:1 to 35:1,770,41.0243,-83.6968,353316,Summer
W00067,7/30/2021,0.757,0.011,0,0.378045,0,,,Aurand Run connection to P1,,sample ,Aurand run appeared to be flowing slowly and calmly. Was not backing up into pool 1. Flow here was .13 m/s. ,,41.023611,-83.695834,0.053363636,2.7123605454545454,0.046836364,2.1385950000000005,0.021063636,0.011,0.757,0,0.378045,0,,,,,,,Summer
W00069,7/30/2021,2.339,0.105,0,0.170217,0,,,Wetland Pool 1,353316,sample,"Vegetation was grown into the pool so it is a very undefined edge. The samples were taken directly inside the end of the vegetation. No soil sample taken at this site, whole area was flooded ",,41.024167,-83.695833,0.1256086956521739,1.4951467173913042,0.062869388,0.296505694,0.006269388,0.109,2.412,0,0.1712894999999999,0,6,14:1 to 35:1,770,41.0243,-83.6968,353316,Summer
W00071,7/30/2021,1.972,0.152,0,0.188591,0.054216,,,Wetland Pool 2,7383,sample ,,,41.024167,-83.695,0.2728333333333333,2.7486666666666664,0.010666667,0.0876985,0.011702667,0.152,1.972,0,0.188591,0.054216,0.5,10:01,774.8,41.0239,-83.6946,7383,Summer
W00074,7/30/2021,1.004,0.054,0,0.166595,0,,,Wetland Pool 20,5000,replicate ,"Width of pool was not possible, this pool is almost completely filled with foliage that is over 5 ft tall. There’s plenty of standing water around the pool, we are accessing the pool from the south end. Even though there was lots of vegetation, once in the middle of the pool, the water was pretty shallow and easy to walk through ",,41.023611,-83.688056,0.0895,0.2476249999999999,0.002225,0.060101631,0.05786875,0.054,1.004,0,0.166595,0,0.5,24:01:00,776.8,41.02360333,-83.68796667,5000,Summer
W00076,7/30/2021,1.176,0.084,0,0.164269,0,,,Wetland Pool 18,19452,replicate ,,,41.023611,-83.689722,0.099846154,1.4081614615384614,0.0448,0.064869214,0.014614286,0.084,1.176,0,0.164269,0,2,12:1 to 19:1,774.8,41.02404667,-83.68998833,19452,Summer
W00078,7/30/2021,1.613,0.08,0,0.681067,0,,,Wetland Pool 14,4000,replicate ,Southeast corner of pool ,,41.024444,-83.689722,0.28025,2.42825,0.0313,0.2106667499999999,0.009775,0.08,1.613,0,0.681067,0,1,10:01,775.7,41.02388167,-83.69051667,4000,Summer
W00080,7/30/2021,0.941,0.042,0,0.158405,0,,,Wetland Pool 22,15000,replicate ,"Much vegetation In this area, very muddy. ",,41.024722,-83.687222,0.1783333333333333,1.7066666666666663,0.017166667,0.1381508333333333,0.025966667,0.042,0.941,0,0.158405,0,1.5,10:01,775.7,41.02496833,-83.68720333,15000,Summer
W00082,7/30/2021,1.246,0.047,0,0.158084,0,,,Wetland Pool 38,15000,replicate ,Pool is filled with sedge meadow mix but access is possible and growth is not as high as other pools. Water inundation surrounding the pool was not as bad as other pools,,41.026389,-83.681944,0.1671666666666666,2.4038666666666666,0.024566667,0.075264,0.029983333,0.047,1.246,0,0.158084,0,1.5,10:01,775.8,41.02657333,-83.68182167,15000,Summer
W00084,7/30/2021,1.955,0.074,0,0.171317,0,,,Wetland Pool 37,10000,replicate ,"We are noticing some scum on the top of this water, it is greenish in color. ",,41.026111,-83.681944,0.0912,2.1038,0,0.0872234,0.00232,0.074,1.955,0,0.171317,0,1,10:01,776.4,41.02695667,-83.68210667,10000,Summer
W00086,7/30/2021,1.379,0.044,0,0.159463,0,,,Wetland Pool 40,126000,replicate ,"The edges of this pool have some green scum, water extends past the vegetation about 10 feet. ",,41.024722,-83.685,0.088074074,1.3274607407407406,0.008132143,0.042705821,0.000382143,0.044,1.379,0,0.159463,0,2,10:1 to 75:1,775.2,41.024775,-83.68513833,126000,Summer
W00144,8/27/2021,0.817,0,0.0413,0.0979,0,,,Aurand Run upstream,,sample,Flow in deeper pool 0.013 m/s in narrow section ~3 ft wide: ~0.1 m/s,,41.0194289,-83.68823689,0.017333333,3.079126,0.07269,2.2705100000000003,0.00236,0,0.817,0.0413,0.0979,0,,,,,,,Summer
W00145,8/27/2021,1.509,0.018,0.0144,0.1609,0.0573,,,Aurand Run connection to P1,,sample,,,41.02349886,-83.69613139,0.053363636,2.7123605454545454,0.046836364,2.1385950000000005,0.021063636,0.018,1.509,0.0144,0.1609,0.0573,,,,,,,Summer
W00146,8/27/2021,0.982,0.022,0,0.1214,0,,,Aurand Run downstream,,sample,,,41.02381243,-83.69830105,0.016545455,1.75824,0.024125,1.3299103333333333,0.002091667,0.022,0.982,0,0.1214,0,,,,,,,Summer
W00147,8/27/2021,3.237,0.182,0,0,0,,,Wetland Pool 1,353316,sample,This is deepest pool,,41.02413249,-83.69677361,0.1256086956521739,1.4951467173913042,0.062869388,0.296505694,0.006269388,0.3155,4.156000000000001,0,0.039,0.00065,6,14:1 to 35:1,770,41.0243,-83.6968,353316,Summer
W00148,8/27/2021,5.075,0.449,0,0.078,0.0013,,,Wetland Pool 1,353316,sample,This was originally identified as P2 but GIS coordinates show it is instead a small pool that is part of the larger area of P1. Nearly full of vegetation,,41.02448432,-83.69568438,0.1256086956521739,1.4951467173913042,0.062869388,0.296505694,0.006269388,0.3155,4.156000000000001,0,0.039,0.00065,6,14:1 to 35:1,770,41.0243,-83.6968,353316,Summer
W00149,8/27/2021,2.536,0.142,0.1956,0,0.0323,,,Wetland Pool 4,49146,sample,Very large pool,,41.02356336,-83.69422241,0.1516363636363636,1.877506818181818,0.03235,0.069175,0.007766667,0.142,2.536,0.1956,0,0.0323,2,16:1 to 52:1,773.7,41.02356336,-83.69422241,49146,Summer
