username,map_label,project_code,sampleMedia,combinedID,sampleID,internalSampleID,visitDate,dateAnalTPTN,TP,TN,dateAnalM3Ex,dateAnalM3ICP,m3_P,m3_Fe,m3_Al,SPSC,dateAnalWE,wEX_P,wEX_NH3,wEX_NOx,dateAnalpH,pH,dateAnalEC,EC,samp_type,locName,Location Sortable,specific_location,samp_type_1,notes,samp_notes,y,x,Total_Mean_TP,Total_Mean_TN,Total_Mean_m3_P,Total_Mean_m3_Fe,Total_Mean_m3_Al,Total_Mean_SPSC,Total_Mean_wEX_P,Total_Mean_wEX_NH3,Total_Mean_wEX_NOx,Total_Mean_pH,Total_Mean_EC,Visit_Mean_TP,Visit_Mean_TN,Visit_Mean_m3_P,Visit_Mean_m3_Fe,Visit_Mean_m3_Al,Visit_Mean_SPSC,Visit_Mean_wEX_P,Visit_Mean_wEX_NH3,Visit_Mean_wEX_NOx,Visit_Mean_pH,Visit_Mean_EC,Wetland_ID,Max Depth  (ft),Slope Range,Bottom Deviation of wetland,Pool Volume (cu ft),Season,Crop_Season,Defined_Season
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03060,S03060,S03060,2022-10-25,20221214.0,324.0,1355.0,20221212,20230105,18.3,1076.9,24.2,44.0,20221222.0,0.2,0.659,1.184,20221214.0,7.3744,20221214.0,905.0,sample,Aurand Run downstream,Aurand Run downstream,3 m upstream of bridge,sample,,,41.02385167,-83.69827667,563.4,2236.2,18.48,917.92,426.9,81.4,0.3714,0.587,4.6748,7.437,550.58,324.0,1355.0,18.3,1076.9,24.2,44.0,0.2,0.659,1.184,7.3744,905.0,A-D,,,,,Autumn,Non_Crop_Season,Season_3
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03374,S03374,S03374,2023-05-18,20230801.0,381.0,1279.0,20230615,20230619,2.9,146.1,626.6,77.0,20230714.0,0.2,0.4,7.881,20230615.0,7.54,20230615.0,83.5,sample,Aurand Run downstream,Aurand Run downstream,10 m from bridge ,sample,,,41.01942,-83.68824333,563.4,2236.2,18.48,917.92,426.9,81.4,0.3714,0.587,4.6748,7.437,550.58,660.0,2005.0,17.4,742.3,560.0,88.0,0.4857,0.6253,7.0633,7.4173,77.9667,A-D,,,,,Spring,Crop_Season,Season_5
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03312,S03312,S03312,2023-05-18,20230801.0,829.0,2215.0,20230602,20230619,33.1,473.3,985.9,106.0,20230713.0,0.2,0.4,8.106,20230605.0,7.356,20230620.0,84.8,sample,Aurand Run downstream,Aurand Run downstream,Under bridge ,sample,,,41.02392167,-83.69825667,563.4,2236.2,18.48,917.92,426.9,81.4,0.3714,0.587,4.6748,7.437,550.58,660.0,2005.0,17.4,742.3,560.0,88.0,0.4857,0.6253,7.0633,7.4173,77.9667,A-D,,,,,Spring,Crop_Season,Season_5
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03313,S03313,S03313,2023-05-18,20230801.0,770.0,2521.0,20230602,20230619,16.2,1607.5,67.5,81.0,20230713.0,1.057,1.076,5.203,20230605.0,7.356,20230620.0,65.6,sample,Aurand Run downstream,Aurand Run downstream,4 m north of stream,sample,,,41.02390333,-83.69818833,563.4,2236.2,18.48,917.92,426.9,81.4,0.3714,0.587,4.6748,7.437,550.58,660.0,2005.0,17.4,742.3,560.0,88.0,0.4857,0.6253,7.0633,7.4173,77.9667,A-D,,,,,Spring,Crop_Season,Season_5
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00364,S00364,S00364,2022-06-28,20220928.0,513.0,3811.0,20220922,20221002,21.9,1285.8,430.3,99.0,20220726.0,0.2,0.4,1.0,20221004.0,7.5584,20220712.0,1614.0,sample,Aurand Run downstream,Aurand Run downstream,,sample,,All rock and stone bottom but got some sediment at the edge. Not representative of the stream bottom. ,41.02394167,-83.698265,563.4,2236.2,18.48,917.92,426.9,81.4,0.3714,0.587,4.6748,7.437,550.58,513.0,3811.0,21.9,1285.8,430.3,99.0,0.2,0.4,1.0,7.5584,1614.0,A-D,,,,,Summer,Crop_Season,Season_3
midden_BGSU,20-21,OAKWE,soil,OAKWE_20221025_S03063,S03063,S03063,2022-10-25,20221214.0,236.0,430.0,20221212,20230105,22.4,651.3,140.6,30.0,20221222.0,0.324,1.387,1.0,20221214.0,7.7792,20221214.0,367.0,sample,Aurand Run connection to P1,Aurand Run connection to P1,,sample,,,41.02347333,-83.69617667,543.0,1586.5,20.2667,735.6,261.3667,50.5,1.7638,1.6872,7.671,7.4342,357.95,236.0,430.0,22.4,651.3,140.6,30.0,0.324,1.387,1.0,7.7792,367.0,A-P1,,,,,Autumn,Non_Crop_Season,Season_3
midden_BGSU,20-21,OAKWE,soil,OAKWE_20220628_S00367,S00367,S00367,2022-06-28,20220928.0,508.0,2123.0,20220922,20221002,19.4,1013.6,442.0,87.0,20220726.0,0.2,1.964,1.0,20221004.0,7.4296,20220712.0,959.0,sample,Aurand Run connection to P1,Aurand Run connection to P1,,sample,,Thin sediment layer above bedrock,41.02347224,-83.69616523,543.0,1586.5,20.2667,735.6,261.3667,50.5,1.7638,1.6872,7.671,7.4342,357.95,508.0,2123.0,19.4,1013.6,442.0,87.0,0.2,1.964,1.0,7.4296,959.0,A-P1,,,,,Summer,Crop_Season,Season_3
midden_BGSU,20-21,OAKWE,soil,OAKWE_20230518_S03317,S03317,S03317,2023-05-18,20230801.0,811.0,3456.0,20230602,20230619,19.3,158.9,448.3,41.0,20230713.0,5.688,2.998,9.239,20230605.0,7.172,20230620.0,59.6,sample,Aurand Run connection to P1,Aurand Run connection to P1,Hugh point eastof connection ,sample,,,41.023525,-83.69599167,543.0,1586.5,20.2667,735.6,261.3667,50.5,1.7638,1.6872,7.671,7.4342,357.95,662.5,2177.0,24.6,608.85,258.3,39.0,3.2655,1.699,14.342,7.264,52.9,A-P1,,,,,Spring,Crop_Season,Season_5
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210730_S00064,S00064,S00064,2021-07-30,20210806.0,715.0,1486.0,20210809,20210825,16.3,106.0,207.0,13.0,,,,,,,,,sample ,Aurand Run connection to P1,Aurand Run connection to P1,Halfway between Aurand Run and Pool 1 ,sample ,Taken about 14 m from edge of aurand run ,,41.025833,-83.698611,543.0,1586.5,20.2667,735.6,261.3667,50.5,1.7638,1.6872,7.671,7.4342,357.95,594.5,1306.0,15.3,765.5,234.5,54.0,,,,,,A-P1,,,,,Summer,Crop_Season,Season_1
midden_BGSU,20-21,OAKWE,soil,OAKWE_20210730_D00033,D00033,D00033,2021-07-30,20210806.0,474.0,1126.0,20210809,20210825,14.3,1425.0,262.0,95.0,,,,,,,,,sample ,Aurand Run connection to P1,Aurand Run connection to P1,Midde of stream ,sample ,Aurand run appeared to be flowing slowly and calmly. Was not backing up into pool 1. ,,41.023611,-83.695834,543.0,1586.5,20.2667,735.6,261.3667,50.5,1.7638,1.6872,7.671,7.4342,357.95,594.5,1306.0,15.3,765.5,234.5,54.0,,,,,,A-P1,,,,,Summer,Crop_Season,Season_1
