sampleID,visitDate,TN,TP,disNH4,disNO3,disPO4,TDN,TDP,locName,Pool Volume (cu ft)_x,samp_type,notes,samp_notes,y,x,Total_Mean_TP,Total_Mean_TN,Total_Mean_disNH4,Total_Mean_disNO3,Total_Mean_disPO4,Visit_Mean_TP,Visit_Mean_TN,Visit_Mean_disNH4,Visit_Mean_disNO3,Visit_Mean_disPO4,Wetland_ID,Max Depth  (ft),Slope Range,Bottom Deviation of wetland,Pool Volume (cu ft)_y,Season,Crop_Season,Defined_Season
W02747,2022-11-01,0.337236,0.015,0.02,0.3612,0.01,,,Aurand Run downstream,,sample,,,41.02389,-83.69826833,0.0261,1.7582,0.0358,1.3299,0.0104,0.015,0.3372,0.02,0.3612,0.01,A-D,,,,,Autumn,Non_Crop_Season,Season_4
W02684,2022-09-20,0.220779,0.015,0.02,0.094,0.0118,,,Aurand Run downstream,,sample,,,41.02388167,-83.69826667,0.0261,1.7582,0.0358,1.3299,0.0104,0.015,0.2208,0.02,0.094,0.0118,A-D,,,,,Autumn,Crop_Season,Season_3
W03746,2023-07-26,,,0.0787,0.2963,0.0133,,,Aurand Run downstream,,sample,,,41.023875,-83.69822333,0.0261,1.7582,0.0358,1.3299,0.0104,,,0.0787,0.2963,0.0133,A-D,,,,,Summer,Crop_Season,Season_5
W02633,2022-08-18,0.662625,0.015,0.0279,0.5079,0.01,,,Aurand Run downstream,,sample,,,41.02388833,-83.69823,0.0261,1.7582,0.0358,1.3299,0.0104,0.015,0.6626,0.0279,0.5079,0.01,A-D,,,,,Summer,Crop_Season,Season_3
W03659,2023-06-15,4.7,0.015,0.02,4.4833,0.01,,,Aurand Run downstream,,sample,,,41.02391333,-83.69821667,0.0261,1.7582,0.0358,1.3299,0.0104,0.015,4.7,0.02,4.4833,0.01,A-D,,,,,Summer,Crop_Season,Season_5
W00063,2021-07-30,0.762,0.022,0.02,0.406124,0.01,,,Aurand Run downstream,,sample ,"Access Aurand ran off County Road nine large drainage pipe leading into Aurand run. Water is flowing west. Sample taken from center of stream. Both filtered and unfiltered water samples taken. o sediment samples taken because this location on Aurand run is bedrock. The water measurements for this sample can also be used for 63. Tons of vegetation around this access point. We sample directly under the highway. Flow is coming from Aurand run itself, the tile connection at this point looks dry. Velocity of water flow is 0.29 m/s at depth of 0.12 m. At 0.17 m it is the same and at 0.07 m, so it is independent of depth. ",,41.023889,-83.698333,0.0261,1.7582,0.0358,1.3299,0.0104,0.022,0.762,0.02,0.4061,0.01,A-D,,,,,Summer,Crop_Season,Season_1
W00146,2021-08-27,0.982,0.022,0.02,0.1214,0.01,,,Aurand Run downstream,,sample,,,41.02381243,-83.69830105,0.0261,1.7582,0.0358,1.3299,0.0104,0.022,0.982,0.02,0.1214,0.01,A-D,,,,,Summer,Crop_Season,Season_1
W00353,2022-04-01,1.992,0.015,0.02,1.6937,0.01,,,Aurand Run downstream,,sample,,,41.02389667,-83.698205,0.0261,1.7582,0.0358,1.3299,0.0104,0.015,1.992,0.02,1.6937,0.01,A-D,,,,,Spring,Non_Crop_Season,Season_2
W02520,2022-07-14,1.092,0.016,0.0483,0.3403,0.01,,,Aurand Run downstream,,sample,,,41.02382667,-83.69817333,0.0261,1.7582,0.0358,1.3299,0.0104,0.016,1.092,0.0483,0.3403,0.01,A-D,,,,,Summer,Crop_Season,Season_3
W00384,2022-04-15,7.272,0.122,0.0322,6.4222,0.01,,,Aurand Run downstream,,sample,,,41.02391833,-83.69821167,0.0261,1.7582,0.0358,1.3299,0.0104,0.122,7.272,0.0322,6.4222,0.01,A-D,,,,,Spring,Non_Crop_Season,Season_2
